"序号","题名","作者","来源","发表时间","数据库","被引","下载","文件名","格式","字节数","检索词"
"11","光电效应测量普朗克常量实验的研究","陈若辉;郭赫","北华大学学报(自然科学版)","2007-08-10","期刊","15","1247","011_光电效应测量普朗克常量实验的研究_陈若辉.pdf","pdf","302981","光电效应 普朗克常量 截止电压"
"12","外光电法测量普朗克常量的误差分析与修正","张开骁;孔维钰;朱卫华;宋建平;刘明熠","物理实验","2013-01-20","期刊","9","460","012_外光电法测量普朗克常量的误差分析与修正_张开骁.pdf","pdf","317048","光电效应 波长 频率 截止电压"
"13","趋近平均法测量普朗克常量","武颖丽;李平舟","物理实验","2007-04-20","期刊","15","302","013_趋近平均法测量普朗克常量_武颖丽.pdf","pdf","170234","光电效应 伏安特性"
"14","光电效应法测量普朗克常数的数据处理及误差分析","闻春敖;郑晓东","中国光学学会2006年学术大会论文摘要集","2006-09-01","中国会议","0","1069","014_光电效应法测量普朗克常数的数据处理及误差分析_闻春敖.pdf","pdf","430053","光电效应 遏止电压 频率"
"15","运用Matlab辅助测量普朗克常量","李雄;朱琳","物理实验","2008-12-20","期刊","12","434","015_运用Matlab辅助测量普朗克常量_李雄.pdf","pdf","271222","光电效应 遏止电压 频率"
"16","光电效应实验仪器及实验方法的改进","黄建群,胡再国","物理实验","2002-06-25","期刊","7","946","016_光电效应实验仪器及实验方法的改进_黄建群.pdf","pdf","169503","光电效应 普朗克常量 伏安特性"
"17","基于MATLAB的普朗克常数测定的数据处理","孙庆龙","科技信息","2010-01-05","期刊","3","364","017_基于MATLAB的普朗克常数测定的数据处理_孙庆龙.pdf","pdf","145702","光电效应 波长 频率 截止电压"
"18","光电效应实验中截止电压随光强变化原因的探索","杨振乾;王鑫园;苏为宁","物理实验","2014-06-20","期刊","8","701","018_光电效应实验中截止电压随光强变化原因的探索_杨振乾.pdf","pdf","449894","光电效应 光强 光电流"
"19","基于自制暗箱测量光电效应中光强与光电流的关系","杨莹;张文攀;张计才","大学物理","2022-02-15","期刊","4","656","019_基于自制暗箱测量光电效应中光强与光电流的关系_杨莹.pdf","pdf","770748","光电效应 伏安特性"
"20","Origin软件在普朗克常量测定实验中的应用","杨达晓;唐海燕;杨耀辉","大学物理实验","2010-10-26","期刊","9","460","020_Origin软件在普朗克常量测定实验中的应用_杨达晓.pdf","pdf","172699","光电效应 伏安特性"
"21","光电效应实验中阳极光电流的测量","陈若辉;王海燕","物理实验","2012-01-20","期刊","5","705","021_光电效应实验中阳极光电流的测量_陈若辉.pdf","pdf","123403","光电效应 普朗克常量 截止电压"
"22","光电效应实验中光阑大小对实验结果影响的探讨","吕佩伟;施洋;马宋设;马靖","大学物理实验","2014-06-26","期刊","4","482","022_光电效应实验中光阑大小对实验结果影响的探讨_吕佩伟.pdf","pdf","96413","光电效应 遏止电压 频率"
"23","光阑大小和光电管接收距离对实验结果影响分析","张风昀;王雪鹏;隋宏光;郭雅慧","实验科学与技术","2017-05-16 14:32","期刊","4","480","023_光阑大小和光电管接收距离对实验结果影响分析_张风昀.pdf","pdf","128394","光电效应 截止电压 波长"
"24","光电效应实验理论及本底电流分析","蒙上阳,霍连利,黄加临","广西师范大学学报(自然科学版)","2000-12-30","期刊","2","633","024_光电效应实验理论及本底电流分析_蒙上阳.pdf","pdf","50337","光电效应 遏止电压 频率"
"25","光电效应伏安特性实验改进研究","王林香","大学物理实验","2016-02-26","期刊","18","1699","025_光电效应伏安特性实验改进研究_王林香.pdf","pdf","181908","光电效应 饱和电流 光强"
"26","光阑对普朗克常量测定影响的分析","封丽","渤海大学学报(自然科学版)","2012-06-15","期刊","3","231","026_光阑对普朗克常量测定影响的分析_封丽.pdf","pdf","121724","光电效应 截止电压 波长"
"27","光电效应实验的影响因素及误差分析","王林香","物理与工程","2016-10-15","期刊","13","1738","027_光电效应实验的影响因素及误差分析_王林香.pdf","pdf","348788","光电效应 遏止电压 频率"
"28","基于物理核心素养的“光电效应”实验教学探索","童有彩;张安军","物理教师","2023-09-05","期刊","10","1120","028_基于物理核心素养的“光电效应”实验教学探索_童有彩.pdf","pdf","308932","光电管 截止电压 频率"
"29","基于光电效应的普朗克常数的测定与分析","郎集会;范雯琦","吉林师范大学学报(自然科学版)","2015-02-10","期刊","6","1394","029_基于光电效应的普朗克常数的测定与分析_郎集会.pdf","pdf","304925","光电效应 遏止电压 频率"
"30","光电管中光电流与电压之间的关系问题","单义成;徐红政","理科考试研究","2014-11-01","特色期刊","0","132","030_光电管中光电流与电压之间的关系问题_单义成.caj","caj","53212","光电管中光电流与电压之间的关系问题"
"31","光电效应的伏安特性曲线","杨祺;金惠吉;陈海涛;杨厚发;施梦丽","物理实验","2023-11-20","期刊","4","1122","031_光电效应的伏安特性曲线_杨祺.pdf","pdf","466804","光电管 伏安特性"
"32","光电效应伏安特性曲线的几个细节问题","王子文;管曙光","物理教学","2022-02-18","期刊","2","1517","032_光电效应伏安特性曲线的几个细节问题_王子文.pdf","pdf","931057","光电管 伏安特性"
